Fecha,flota,Modelo,Marca,Componente,Aceite Lubricante,cambioLubricanate,Contenido de agua %,Punto de inflamacion °C,Glicol %,Nitracion A/cm,Oxidación A/cm,Hollín %,Sulfatacion A/cm,Diesel %,N de part >4µm,N° de part >6µm,N° de part>14µm,Código ISO 4406,Viscosidad 100°C cSt(mm2/s),Viscosidad 40°C cSt(mm2/s),TAN mg KOH/g,TBN mg KOH/g,Plata (Ag) ppm,Aluminio (Al) ppm,Bario (Ba) ppm,Boro (B) ppm,Calcio (Ca) ppm,Cromo (Cr) ppm,Cobre (Cu) ppm,Hierro (Fe) ppm,Potasio (K) ppm,Magnesio (Mg) ppm,Molibdeno (Mo) ppm,Sodio (Na) ppm,Níquel (Ni) ppm,Plomo (Pb) ppm,Fósforo (P) ppm,Silicio (Si) ppm,Estaño (Sn) ppm,Titanio (Ti) ppm,Vanadio (V) ppm,Zinc (Zn) ppm,Residuo Ferroso Total mg/kg,Numero Muestra,Numero Registro,Numero Serie Equipo,Criticidad,Disponibilidad,Tiempo Parada,TRR,TMP,TBF,Confiabilidad
2025-04-01 02:40:00,525,KOMATSU 930 E4,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Muestreo,0.27,182,0.29,1,0,1.44,1,0.58,1821,2788,292,20/19/13,10.22,101.56,1.09,2,4,16,2,8,710,2,4,58,3,8,1,18,9,5,9,13,4,5,9,17,59,B00033,33,LAJ331,Normal,0.9583,1,3,1.9666666666666663,23,87.0
2025-04-01 02:45:00,535,KOMATSU 930 E4,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Muestreo,0.26,196,0.21,2,1,0.23,1,0.79,6725,4929,931,19/18/13,10.39,81.38,1.51,6,0,21,9,2,581,1,22,68,1,8,2,17,8,4,3,2,2,4,1,5,543,E00034,34,LAJ089,Normal,0.9583,1,0,0.1666666666666666,23,100.0
2025-04-01 02:50:00,553,KOMATSU 930 E4,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.84,244,0.23,1,0,1.09,4,0.87,7476,3512,119,21/18/16,18.63,91.91,0.58,3,2,19,5,6,589,8,13,59,5,3,4,26,0,9,4,3,7,5,6,35,575,B00035,35,LAJ889,Normal,0.7917,5,4,3.0,19,78.9
2025-04-01 02:55:00,912,CATERPILLAR 798AC-P,CATERPILLAR,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.28,204,0.01,3,4,0.66,3,0.73,8956,2070,259,20/17/13,16.46,96.03,0.55,7,0,15,9,5,716,8,37,69,8,8,5,18,3,7,5,12,7,1,1,24,19,C00036,36,LAJ237,Normal,0.9167,2,5,0.6333333333333333,22,77.3
2025-04-01 03:00:00,931,CATERPILLAR 797F,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.49,225,0.03,0,0,0.83,0,0.8,8643,2766,172,18/19/16,17.72,90.71,1.55,8,1,28,9,3,121,8,17,8,5,1,4,25,2,7,0,4,3,9,4,77,186,D00037,37,LAJ510,Normal,0.9583,1,1,0.3333333333333333,23,95.7
2025-04-01 03:05:00,523,KOMATSU 930 E3,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.75,217,0.25,2,3,1.08,1,0.35,7613,2748,510,19/18/13,10.07,93.47,0.25,3,4,5,4,5,31,7,16,34,1,8,5,23,3,0,4,7,2,4,6,83,454,B00038,38,LAJ556,Normal,0.9583,1,2,2.9,23,91.3
2025-04-01 03:10:00,562,KOMATSU 930 E5,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Muestreo,0.51,186,0.43,1,0,1.99,3,0.28,9533,588,658,19/19/15,13.27,82.9,2.25,5,0,17,7,6,661,3,37,72,4,5,5,3,5,4,5,10,3,9,2,4,481,B00039,39,LAJ255,Normal,0.9167,2,2,0.2,22,90.9
2025-04-01 03:15:00,550,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.73,245,0.05,4,3,1.57,0,0.33,3166,4093,145,20/17/15,11.75,99.57,1.0,1,2,11,8,6,717,0,0,31,4,4,3,18,3,2,8,11,1,1,4,5,201,E00040,40,LAJ015,Normal,0.875,3,6,1.2666666666666666,21,71.4
2025-04-01 03:20:00,900,CATERPILLAR 798AC-P,CATERPILLAR,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.8,217,0.24,1,4,0.37,2,0.07,2931,2684,103,18/19/16,17.42,114.93,2.24,4,3,13,3,6,963,7,31,94,0,7,0,20,0,2,0,5,7,4,4,44,184,A00041,41,LAJ170,Normal,0.875,3,3,1.2,21,85.7
2025-04-01 03:25:00,913,CATERPILLAR 798AC-P,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.09,188,0.1,1,0,0.6,0,0.41,4148,1483,292,19/16/15,19.46,113.46,2.91,5,3,23,0,0,644,0,28,94,0,4,5,5,9,0,0,14,0,0,4,3,314,B00042,42,LAJ651,Normal,0.75,6,4,2.6,18,77.8
2025-04-01 03:30:00,934,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Cambio Aceite,0.35,195,0.29,1,4,1.96,4,0.93,8320,1521,417,18/18/16,12.63,116.72,1.18,0,1,9,6,6,198,8,25,75,5,3,7,25,9,8,3,8,1,7,2,22,520,A00043,43,LAJ745,Normal,0.9167,2,6,0.4,22,72.7
2025-04-01 03:35:00,542,KOMATSU 930 E5,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.02,193,0.31,0,4,0.16,1,0.65,9124,3376,364,19/17/14,14.76,101.92,1.37,7,1,9,6,5,635,8,30,92,5,0,8,10,5,3,3,4,6,4,5,75,563,B00044,44,LAJ477,Normal,0.9167,2,1,1.1333333333333333,22,95.5
2025-04-01 03:40:00,568,KOMATSU 930 E4SE,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.88,194,0.36,1,2,1.64,2,0.93,5682,4766,853,19/17/16,18.5,111.31,0.47,0,1,22,4,5,131,9,32,241,1,5,5,17,3,7,2,49,3,4,1,49,575,D00045,45,LAJ807,Critico,0.0,22,1,1.933333333333333,0,0.0
2025-04-01 03:45:00,564,KOMATSU 930 E5,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Cambio Aceite,0.87,188,0.44,2,3,0.64,4,0.29,8000,3555,673,19/17/15,14.82,99.08,1.52,4,1,10,0,8,831,5,2,163,4,3,1,26,7,9,6,20,6,4,2,71,180,E00046,46,LAJ019,Atencion,0.625,9,0,1.0333333333333334,15,100.0
2025-04-01 03:50:00,910,CATERPILLAR 798AC-A,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.49,240,0.32,1,4,0.71,2,0.75,3842,3735,898,19/17/16,16.11,112.76,1.26,5,1,6,9,2,634,6,19,271,5,4,1,15,7,0,8,38,6,6,9,11,302,A00047,47,LAJ109,Critico,0.0,17,2,1.0666666666666669,0,0.0
2025-04-01 03:55:00,916,CATERPILLAR 798AC-A,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.27,223,0.01,4,0,0.19,3,0.45,2503,684,802,20/17/13,10.92,99.04,2.79,3,4,22,5,2,736,4,28,60,8,5,7,5,7,3,3,3,9,5,1,82,556,B00048,48,LAJ656,Normal,0.7917,5,5,2.933333333333333,19,73.7
2025-04-01 04:00:00,561,KOMATSU 930 E3,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.5,223,0.47,0,3,1.85,0,0.48,9871,1205,970,18/19/14,19.66,110.84,1.05,0,2,13,7,2,66,4,19,10,1,9,7,26,6,2,9,9,2,2,1,70,84,D00049,49,LAJ797,Normal,0.9167,2,3,2.3666666666666667,22,86.4
2025-04-01 04:05:00,502,KOMATSU 930 E4,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.51,194,0.32,3,3,0.91,1,0.73,6432,3994,676,19/17/15,18.96,92.03,1.95,5,2,12,7,6,837,3,31,88,1,0,4,7,1,9,3,3,6,1,8,8,487,E00050,50,LAJ976,Normal,0.9167,2,6,1.4,22,72.7
2025-04-01 04:10:00,918,CATERPILLAR 798AC-P,CATERPILLAR,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.54,233,0.4,0,3,0.28,3,0.34,1485,659,406,20/18/13,17.54,88.08,0.17,9,1,4,8,4,992,0,49,81,1,8,7,19,5,5,8,4,0,2,1,1,203,C00051,51,LAJ687,Normal,0.7917,5,3,1.2666666666666666,19,84.2
2025-04-01 04:15:00,517,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.47,247,0.21,1,2,1.22,0,0.05,1402,2666,593,20/18/15,13.71,116.5,2.86,4,1,21,2,3,59,1,15,47,5,3,3,12,4,9,6,7,7,0,5,49,456,C00052,52,LAJ994,Normal,0.875,3,2,2.3,21,90.5
2025-04-01 04:20:00,939,CATERPILLAR 798AC-A,CATERPILLAR,SISTEMA HIDRAULICO,MOBIL DTE 24,Cambio Aceite,0.04,198,0.35,1,4,0.15,1,0.28,5425,2038,884,21/17/13,15.22,95.32,0.87,5,0,1,2,0,929,1,15,24,0,0,2,11,3,3,5,9,7,6,0,59,300,C00053,53,LAJ705,Normal,0.8333,4,0,2.1,20,100.0
2025-04-01 04:25:00,922,CATERPILLAR 798AC-P,CATERPILLAR,MASA DERECHA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.2,206,0.31,4,3,1.15,3,0.17,4734,2018,507,18/16/15,12.6,101.68,2.65,6,2,27,3,5,340,3,2,54,7,6,7,24,9,3,8,12,8,3,4,35,49,A00054,54,LAJ718,Normal,0.875,3,6,3.0,21,71.4
2025-04-01 04:30:00,504,KOMATSU 930 E3,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Muestreo,0.04,202,0.18,3,3,0.23,2,0.21,7965,3033,190,19/19/15,12.92,114.46,1.5,9,2,10,6,9,764,7,16,219,2,4,0,3,2,6,7,38,7,6,6,54,322,A00055,55,LAJ279,Critico,0.0,14,5,1.4666666666666666,0,0.0
2025-04-01 04:35:00,908,CATERPILLAR 797F,CATERPILLAR,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.55,239,0.17,1,4,1.02,0,0.61,2553,1826,394,20/19/16,13.17,113.13,1.27,4,4,2,1,4,437,3,26,48,0,2,2,29,5,8,6,4,9,6,7,5,151,D00056,56,LAJ756,Normal,0.9583,1,6,0.0,23,73.9
2025-04-01 04:40:00,901,CATERPILLAR 798AC-P,CATERPILLAR,MASA DERECHA,MOBIL MOBILTRANS HD 30,Muestreo,0.96,195,0.31,4,2,1.41,0,0.75,7259,4108,363,18/16/16,11.38,97.68,0.59,1,0,22,6,4,902,4,27,20,2,3,3,9,7,1,8,8,5,8,1,8,463,E00057,57,LAJ478,Normal,0.75,6,0,2.4,18,100.0
2025-04-01 04:45:00,529,KOMATSU 930 E4SE,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.86,207,0.39,1,1,1.97,4,0.22,5544,4837,468,20/16/14,17.16,106.21,1.46,4,0,19,3,9,477,2,38,29,6,7,5,13,9,0,5,4,1,6,2,89,61,B00058,58,LAJ325,Normal,0.8333,4,0,2.933333333333333,20,100.0
2025-04-01 04:50:00,518,KOMATSU 930 E3,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.42,226,0.37,3,3,1.46,0,0.33,7860,1721,208,21/17/13,14.41,110.28,0.27,2,0,23,5,0,400,1,14,34,8,8,3,21,0,1,6,1,6,6,9,98,568,C00059,59,LAJ335,Normal,0.9583,1,4,2.0,23,82.6
2025-04-01 04:55:00,506,KOMATSU 930 E5,KOMATSU,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.74,197,0.49,2,1,0.27,2,0.55,4854,2997,137,19/19/16,10.97,97.32,0.55,5,2,0,1,1,954,4,27,32,2,5,7,13,4,2,8,9,2,7,7,63,523,C00060,60,LAJ147,Normal,0.9167,2,6,2.033333333333333,22,72.7
2025-04-01 05:00:00,915,CATERPILLAR 798AC-A,CATERPILLAR,SISTEMA HIDRAULICO,MOBIL DTE 24,Cambio Aceite,0.39,213,0.01,2,2,1.39,2,0.51,9660,1047,808,20/19/16,10.09,81.48,2.31,9,3,16,6,0,145,5,33,54,4,6,7,0,1,2,0,1,6,6,0,31,403,D00061,61,LAJ043,Normal,0.875,3,0,0.1,21,100.0
2025-04-01 05:05:00,539,KOMATSU 930 E3,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Muestreo,0.56,218,0.3,1,0,0.7,4,0.68,7852,3605,445,20/19/15,10.67,95.49,0.99,2,1,21,0,9,595,7,17,60,9,7,9,19,8,5,4,0,6,6,8,49,421,C00062,62,LAJ064,Normal,0.75,6,0,2.6666666666666665,18,100.0
2025-04-01 05:10:00,911,CATERPILLAR 798AC-A,CATERPILLAR,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.05,201,0.31,4,3,1.92,4,0.17,5571,1044,231,21/19/13,10.69,82.31,1.12,5,1,12,9,9,692,4,16,81,3,1,0,12,3,5,8,3,6,1,1,60,73,A00063,63,LAJ525,Normal,0.8333,4,2,1.7,20,90.0
